epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8713,1.13976,2.41437,1.6054,0.98067,0.0442,0.55258,0.2539,1.49805,2.69726,2.20764,0.000543319,0.000543319,0.000543319
2,34.8336,1.10389,1.7571,1.52311,0.45549,0.47514,0.46349,0.22939,1.55397,2.0942,2.37301,0.00106272,0.00106272,0.00106272
3,44.8415,1.16436,1.62956,1.52447,0.33781,0.45304,0.3218,0.1497,1.63387,2.78556,2.61245,0.00154544,0.00154544,0.00154544
4,60.4205,1.1206,1.5085,1.51543,0.55743,0.64717,0.59892,0.27435,1.51841,2.35007,2.54903,0.00150197,0.00150197,0.00150197
5,76.0727,1.13183,1.3732,1.49207,0.33811,0.35912,0.30718,0.13644,2.01603,2.48556,2.53184,0.00144696,0.00144696,0.00144696
6,91.4343,1.10126,1.32836,1.47735,0.50404,0.56354,0.54327,0.24105,1.68551,1.89177,2.53523,0.00139195,0.00139195,0.00139195
7,103.883,1.05642,1.19062,1.42987,0.73842,0.70718,0.72304,0.37538,1.45367,1.40057,2.15899,0.00133693,0.00133693,0.00133693
8,117.849,1.06774,1.18643,1.46058,0.629,0.57139,0.60339,0.31116,1.55789,1.69274,2.23196,0.00128192,0.00128192,0.00128192
9,133.568,1.04484,1.09935,1.45438,0.60245,0.66851,0.68998,0.37668,1.34572,1.60804,2.00829,0.00122691,0.00122691,0.00122691
10,149.456,0.99443,1.043,1.40549,0.72598,0.74586,0.75852,0.43827,1.33222,1.39344,2.02677,0.0011719,0.0011719,0.0011719
11,164.031,0.99509,1.02919,1.3951,0.77204,0.70718,0.80526,0.43955,1.33485,1.32203,2.04349,0.00111689,0.00111689,0.00111689
12,175.566,0.96436,0.98544,1.38989,0.73878,0.71876,0.75869,0.46353,1.32661,1.22827,1.97965,0.00106188,0.00106188,0.00106188
13,191.517,0.94007,0.95368,1.37129,0.86163,0.72249,0.83462,0.49361,1.26872,1.14479,1.90099,0.00100687,0.00100687,0.00100687
14,207.284,0.93683,0.90697,1.35698,0.80003,0.77364,0.82091,0.47998,1.2783,1.21797,1.98053,0.000951857,0.000951857,0.000951857
15,222.969,0.90399,0.84525,1.32815,0.90184,0.75691,0.84403,0.48859,1.35376,1.12053,2.06809,0.000896846,0.000896846,0.000896846
16,232.315,0.91404,0.88019,1.33451,0.84114,0.8191,0.86187,0.52898,1.23232,1.11807,1.88929,0.000841835,0.000841835,0.000841835
17,248.271,0.87124,0.78831,1.30333,0.82206,0.79123,0.83725,0.54264,1.1723,0.98913,1.88035,0.000786824,0.000786824,0.000786824
18,264.029,0.85289,0.77984,1.29324,0.89655,0.76608,0.8749,0.54457,1.14865,0.91903,1.80669,0.000731813,0.000731813,0.000731813
19,279.648,0.87637,0.77969,1.29934,0.83677,0.80663,0.8559,0.55577,1.1657,0.97826,1.78071,0.000676802,0.000676802,0.000676802
20,291.455,0.82373,0.72989,1.26869,0.84317,0.80198,0.86657,0.59296,1.02013,0.96496,1.651,0.000621791,0.000621791,0.000621791
21,306.66,0.7431,0.65374,1.30247,0.87301,0.76796,0.88225,0.59922,1.0752,0.9803,1.68428,0.00056678,0.00056678,0.00056678
22,322.527,0.67452,0.58197,1.24961,0.85671,0.85884,0.90654,0.63999,0.97319,0.8332,1.60531,0.000511769,0.000511769,0.000511769
23,338.507,0.63794,0.53431,1.20924,0.90462,0.83838,0.89169,0.61529,1.025,0.82167,1.662,0.000456758,0.000456758,0.000456758
24,351.73,0.634,0.5302,1.2127,0.8801,0.85163,0.91618,0.6396,0.97347,0.81501,1.58579,0.000401747,0.000401747,0.000401747
25,364.524,0.60241,0.50377,1.18412,0.88877,0.83978,0.89893,0.63881,0.93783,0.81025,1.52507,0.000346736,0.000346736,0.000346736
26,380.289,0.59083,0.4734,1.16256,0.87229,0.85083,0.90505,0.64607,0.98451,0.73407,1.60272,0.000291725,0.000291725,0.000291725
27,396.342,0.57222,0.44726,1.15368,0.89743,0.87008,0.92318,0.66016,0.93672,0.67513,1.55525,0.000236714,0.000236714,0.000236714
28,411.663,0.55762,0.43078,1.1332,0.89942,0.88932,0.92538,0.65976,0.9299,0.68439,1.5604,0.000181703,0.000181703,0.000181703
29,422.115,0.54526,0.41623,1.11155,0.91624,0.84608,0.92289,0.66729,0.92013,0.68439,1.54287,0.000126692,0.000126692,0.000126692
30,438.296,0.5285,0.40659,1.11454,0.89549,0.87845,0.92691,0.67326,0.9119,0.67149,1.53664,7.1681e-05,7.1681e-05,7.1681e-05
